                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.22698,                0.98529,                      1,                 0.3339,             0.00023767,             0.00023767,             0.00023767
                      2,                0.08791,                0.98529,                      1,                0.33509,             0.00042858,             0.00042858,             0.00042858
                      3,                0.07117,                0.97385,                      1,                0.33917,             0.00057237,             0.00057237,             0.00057237
                      4,                0.07006,                0.98692,                      1,                0.32915,             0.00050194,             0.00050194,             0.00050194
                      5,                 0.0569,                0.98978,                      1,                0.32654,             0.00050194,             0.00050194,             0.00050194
                      6,                0.05652,                0.98774,                      1,                0.32597,             0.00043126,             0.00043126,             0.00043126
                      7,                0.04648,                0.98815,                      1,                0.32576,             0.00036057,             0.00036057,             0.00036057
                      8,                0.03733,                0.98774,                      1,                0.32468,             0.00028988,             0.00028988,             0.00028988
                      9,                0.03503,                0.98692,                      1,                0.32531,              0.0002192,              0.0002192,              0.0002192
                     10,                0.02911,                0.98937,                      1,                0.32395,             0.00014851,             0.00014851,             0.00014851
